Id,NODE_NAME,latitude,longitude,average population,final_average_population
4060150600,뒷못동교차로,33.2890033988545,126.744291235786,55.364458,55.364458
4060153200,제1성읍교남측,33.4204354708463,126.758748665587,71.965714,71.965714
4060154000,토산리1377-1,33.3253183192649,126.765629585693,71.965714,71.965714
4060155500,성읍2교,33.4087089082689,126.772896686254,71.965714,71.965714
4060155700,가시리3805,33.3539540038775,126.7737431297,71.965714,71.965714
4060158500,제주시-서귀포시,33.4407346675835,126.795547747477,71.965714,71.965714
4060160500,가마초교앞교차로,33.3065990850636,126.800259136595,71.965714,71.965714
4060161800,CU제주성읍점,33.3925580756652,126.801798301714,71.965714,71.965714
4060164100,표선생활체육관,33.3530168176651,126.814195267144,71.965714,71.965714
4060170000,EV충전소제주일출랜드,33.380615386877,126.842698687075,79.21875,79.21875
4060177000,속성변화점,33.4764690307419,126.896500847463,79.21875,79.21875
4060178500,자담치킨,33.4082478907028,126.903474168086,79.21875,79.21875
4060180000,오조한도교입구교차로,33.4653181788835,126.908612168017,79.21875,79.21875
4060182000,브라운스위트제주호텔앤리조트,33.4524639072134,126.914070013544,79.21875,79.21875
4060182400,성신유치원,33.4539960566664,126.914976064519,79.21875,79.21875
4060185100,성산해양파출소,33.4717720769681,126.929881730208,79.21875,79.21875
4060185700,성산리109-12,33.4629315889952,126.935011341617,79.21875,79.21875
4050208301,제9부두,33.524219602252,126.545747922412,220.125,220.125
4050209101,파스쿠찌,33.5070644940434,126.495706683499,396.514286,99.1285715
4060021500,하늘궁전,33.2495047752907,126.430786666395,130.484211,130.484211
4050039201,연동270,33.490906039572,126.492117990573,402.150943,100.53773575
4050200400,세화리3317-4,33.4891904274932,126.821913805454,86.280899,86.280899
4050202900,세화중학교,33.5217007984057,126.854858294676,86.280899,86.280899
4050203400,세화리사무소,33.5277815256729,126.855541646804,86.280899,86.280899
4060003402,신효교,33.2592291401297,126.59387402982,114.782609,114.782609
4060003500,신효입구삼거리,33.2601022419618,126.59933510479,114.782609,114.782609
4060003501,신효동1544,33.260611691221,126.611236491758,114.782609,114.782609
4060003900,GS25,33.2606723969385,126.617586136801,114.782609,114.782609
4060004200,중문입구사거리,33.2585071159629,126.427003448638,130.484211,130.484211
