순번,생성일,생성시분,링크ID,도로관리기관,통행속도,Unnamed: 0_x,Source_x,Target_x,LANES_x,ROAD_RANK_x,ROAD_NO_x,ROAD_NAME_x,ROAD_USE_x,MULTI_LINK_x,CONNECT_x,MAX_SPD_x,REST_VEH_x,REST_W_x,REST_H_x,C-ITS_x,LENGTH_x,UPDATEDATE_x,시간
657704,20231106,0,4060250200,10078901.0,16.0,515100,4060141400,4060082600,1,107,-,남원회관로,0,0,0,50,0,0,0,0,64.38173391,20230519,0.24143150216249998
10885957,20231106,125,4060250300,10078901.0,36.0,227416,4060082600,4060141400,1,107,-,남원회관로,0,0,0,50,0,0,0,0,57.51650015,20230519,0.09586083358333333
657706,20231106,0,4060250400,10078901.0,31.0,419003,4060123600,4060081100,1,107,-,하례로,0,0,0,40,0,0,0,0,882.41447,20230519,1.7078989741935484
657707,20231106,0,4060250500,10078901.0,38.0,447075,4060081100,4060123600,1,107,-,하례로,0,0,0,40,0,0,0,0,879.4311982,20230519,1.3885755761052632
657708,20231106,0,4060250600,10078901.0,33.0,225785,4060082200,4060082100,1,107,-,태위로215번길,0,0,0,50,0,0,0,0,196.7716859,20230519,0.35776670163636365
4067124,20231106,25,4060250700,10078901.0,35.0,436649,4060082100,4060082200,1,107,-,태위로215번길,0,0,0,50,0,0,0,0,210.0750291,20230519,0.3601286213142857
64755612,20231106,1115,4060250800,10078901.0,45.0,222113,4060129300,4060131200,1,107,-,위미항구로,0,0,0,50,0,0,0,0,1387.778052,20230519,1.850370736
73620652,20231106,1255,4060250900,10078901.0,43.8,145945,4060131200,4060129300,1,107,-,위미항구로,0,0,0,50,0,0,0,0,1387.658427,20230519,1.9009019547945207
657712,20231106,0,4060251000,10078901.0,49.0,429242,4060129300,4060128000,1,107,-,생기악로,0,0,0,50,0,0,0,0,1467.344378,20230519,1.7967482179591836
10885965,20231106,125,4060251100,10078901.0,48.7,486847,4060128000,4060129300,1,107,-,생기악로,0,0,0,50,0,0,0,0,1462.203777,20230519,1.8014830928131413
657714,20231106,0,4060251400,10078901.0,32.0,498611,4060129100,4060081500,1,107,-,서성로,0,0,0,50,0,0,0,0,863.5729567,20230519,1.6191992938125
4067130,20231106,25,4060251500,10078901.0,52.0,497768,4060081500,4060129100,1,107,-,서성로,0,0,0,50,0,0,0,0,852.5023469,20230519,0.9836565541153846
657716,20231106,0,4060251600,10078901.0,27.0,196915,4060136000,4060081700,1,107,-,남조로,0,0,0,50,0,0,0,0,138.1826039,20230519,0.3070724531111111
10885969,20231106,125,4060251700,10078901.0,17.0,470490,4060081700,4060136000,1,107,-,남조로,0,0,0,50,0,0,0,0,138.1826995,20230519,0.48770364529411764
4067133,20231106,25,4060251800,10078901.0,52.0,391877,4060142200,4060141700,1,107,-,남조로,0,0,0,60,0,0,0,0,224.6296651,20230519,0.2591880751153846
111811074,20231106,1955,4060251900,10078901.0,48.0,463172,4060141700,4060142200,1,107,-,남조로,0,0,0,60,0,0,0,0,229.530971,20230519,0.28691371374999997
66801390,20231106,1145,4060252000,10078901.0,38.0,423416,4060134000,4060133700,2,107,-,서성로,0,0,0,20,0,0,0,0,396.9320873,20230519,0.6267348746842105
88623439,20231106,1525,4060252100,10078901.0,48.0,324535,4060133700,4060134000,2,107,-,서성로,0,0,0,20,0,0,0,0,385.4959902,20230519,0.48186998774999995
657722,20231106,0,4060252200,10078901.0,28.0,2678,4060146100,4060083000,1,107,-,-,0,0,0,40,0,0,0,0,219.1505967,20230519,0.46960842149999993
10885976,20231106,125,4060252300,10078901.0,27.0,213900,4060083000,4060146100,1,107,-,-,0,0,0,40,0,0,0,0,219.1505967,20230519,0.48700132599999996
44980348,20231106,715,4060252400,10078901.0,43.3,2368,4060136200,4060135600,1,107,-,서성로810번길,0,0,0,50,0,0,0,0,1304.70669,20230519,1.8079076535796768
657727,20231106,0,4060252500,10078901.0,52.0,297224,4060135600,4060136200,1,107,-,서성로810번길,0,0,0,50,0,0,0,0,1315.832448,20230519,1.518268209230769
657728,20231106,0,4060252600,10078901.0,42.0,300931,4060139100,4060138000,1,107,-,한신로143번길,0,0,0,50,0,0,0,0,1491.044751,20230519,2.1300639299999995
74984534,20231106,1305,4060252700,10078901.0,46.0,381594,4060138000,4060139100,1,107,-,한신로143번길,0,0,0,50,0,0,0,0,1481.771509,20230519,1.9327454465217389
657731,20231106,0,4060252800,10078901.0,26.0,394054,4060134100,4060080800,1,107,-,위미대성로,0,0,0,50,0,0,0,0,49.15782318,20230519,0.11344113041538462
657732,20231106,0,4060252900,10078901.0,24.0,34887,4060080800,4060134100,1,107,-,위미대성로,0,0,0,50,0,0,0,0,48.98931679,20230519,0.122473291975
10885985,20231106,125,4060253000,10078901.0,42.0,289920,4060133900,4060080800,1,107,-,위미대성로,0,0,0,50,0,0,0,0,415.5357434,20230519,0.5936224905714285
657734,20231106,0,4060253100,10078901.0,35.5,369018,4060080800,4060133900,1,107,-,위미대성로,0,0,0,50,0,0,0,0,412.7975868,20230519,0.697686062197183
657735,20231106,0,4060253200,10078901.0,25.0,100400,4060130600,4060081900,1,107,-,태위로,0,0,0,30,0,0,0,0,160.4709658,20230519,0.3851303179199999
657736,20231106,0,4060253300,10078901.0,30.0,43370,4060081900,4060130600,1,107,-,태위로,0,0,0,30,0,0,0,0,160.4710602,20230519,0.3209421204
12249759,20231106,145,4060253400,10078901.0,41.5,6077,4060146700,4060146800,1,107,-,-,0,0,0,50,0,0,0,0,143.5115439,20230519,0.2074865694939759
17704840,20231106,245,4060253500,10078901.0,48.0,65642,4060146800,4060146700,1,107,-,-,0,0,0,50,0,0,0,0,143.5114684,20230519,0.17938933550000002
657739,20231106,0,4060253600,10078901.0,43.5,47221,4060132600,4060080800,1,107,-,위미상원북로24번길,0,0,0,50,0,0,0,0,1216.27843,20230519,1.6776254206896553
68847185,20231106,1200,4060253700,10078901.0,45.0,423419,4060080800,4060132600,1,107,-,위미상원북로24번길,0,0,0,50,0,0,0,0,1212.378827,20230519,1.6165051026666666
74984546,20231106,1305,4060253800,10078901.0,47.0,539642,4060132600,4060131500,1,107,-,위미중앙로98번길,0,0,0,50,0,0,0,0,613.4567539,20230519,0.7831362815744679
657742,20231106,0,4060253900,10078901.0,45.7,443362,4060131500,4060132600,1,107,-,위미중앙로98번길,0,0,0,50,0,0,0,0,612.8770531,20230519,0.8046525861269146
657743,20231106,0,4060254000,10078901.0,46.0,232139,4060131500,4060130200,1,107,-,위미항구로,0,0,0,40,0,0,0,0,384.1945854,20230519,0.5011233722608696
657744,20231106,0,4060254100,10078901.0,31.0,399262,4060130200,4060131500,1,107,-,위미항구로,0,0,0,40,0,0,0,0,380.7892265,20230519,0.7370114061290322
17704847,20231106,245,4060254200,10078901.0,62.0,125322,4060128900,4060081800,1,107,-,신례로,0,0,0,50,0,0,0,0,908.3284413,20230519,0.8790275238387096
77030349,20231106,1335,4060254300,10078901.0,76.0,2361,4060081800,4060128900,1,107,-,신례로,0,0,0,50,0,0,0,0,902.4003874,20230519,0.7124213584736842
657747,20231106,0,4060254400,10078901.0,40.3,34985,4060129500,4060081800,1,107,-,일주동로7774번길,0,0,0,50,0,0,0,0,375.136401,20230519,0.5585157334987593
657748,20231106,0,4060254500,10078901.0,44.3,448945,4060081800,4060129500,1,107,-,일주동로7774번길,0,0,0,50,0,0,0,0,378.3010476,20230519,0.5123716220316027
72938758,20231106,1250,4060254600,10078901.0,54.0,448946,4060128500,4060081800,1,107,-,신례로120번길,0,0,0,50,0,0,0,0,1026.112448,20230519,1.1401249422222224
72938760,20231106,1250,4060254700,10078901.0,67.0,443363,4060081800,4060128500,1,107,-,신례로120번길,0,0,0,50,0,0,0,0,1040.571069,20230519,0.9318546886567165
76348423,20231106,1325,4060254800,10078901.0,76.0,222384,4060130200,4060081800,1,107,-,-,0,0,0,40,0,0,0,0,501.483112,20230519,0.39590771999999996
4067169,20231106,25,4060254900,10078901.0,51.0,512090,4060081800,4060130200,1,107,-,-,0,0,0,40,0,0,0,0,497.7399299,20230519,0.585576388117647
657755,20231106,0,4060255000,10078901.0,22.0,255351,4060132400,4060131100,1,107,-,위미대화로,0,0,0,50,0,0,0,0,304.8994288,20230519,0.8315438967272727
74984562,20231106,1305,4060255100,10078901.0,28.0,20394,4060131100,4060132400,1,107,-,위미대화로,0,0,0,50,0,0,0,0,304.6821096,20230519,0.6528902348571428
657758,20231106,0,4060255200,10078901.0,20.0,269367,4060131600,4060131300,1,107,-,태위로,0,0,0,30,0,0,0,0,145.4386439,20230519,0.43631593169999994
657759,20231106,0,4060255300,10078901.0,12.0,285921,4060131300,4060131600,1,107,-,태위로,0,0,0,30,0,0,0,0,145.6767602,20230519,0.728383801
4067175,20231106,25,4060255400,10078901.0,37.0,212242,4060133300,4060082000,1,107,-,위미대원하로,0,0,0,50,0,0,0,0,342.7782948,20230519,0.5558566942702703
12249783,20231106,145,4060255500,10078901.0,30.5,413458,4060082000,4060133300,1,107,-,위미대원하로,0,0,0,50,0,0,0,0,344.9340126,20230519,0.6785587133114753
657762,20231106,0,4060255600,10078901.0,26.0,443253,4060133300,4060132800,1,107,-,태위로151번길,0,0,0,50,0,0,0,0,403.2757492,20230519,0.9306363443076923
657763,20231106,0,4060255700,10078901.0,39.0,61524,4060132800,4060133300,1,107,-,태위로151번길,0,0,0,50,0,0,0,0,402.1631995,20230519,0.6187126146153846
657764,20231106,0,4060255800,10078901.0,35.0,34881,4060134200,4060082200,1,107,-,태위로,0,0,0,50,0,0,0,0,307.6888884,20230519,0.5274666658285714
657765,20231106,0,4060255900,10078901.0,42.0,52158,4060082200,4060134200,1,107,-,태위로,0,0,0,50,0,0,0,0,319.4606446,20230519,0.4563723494285714
657766,20231106,0,4060256000,10078901.0,31.0,66938,4060134500,4060082200,1,107,-,태위로215번길,0,0,0,50,0,0,0,0,299.9551309,20230519,0.5805583178709677
657767,20231106,0,4060256100,10078901.0,41.0,42560,4060082200,4060134500,1,107,-,태위로215번길,0,0,0,50,0,0,0,0,302.0547244,20230519,0.442031304
657769,20231106,0,4060256200,10078901.0,23.0,199909,4060135400,4060082300,1,107,-,태위로360번길,0,0,0,50,0,0,0,0,881.5823197,20230519,2.2997799644347823
657770,20231106,0,4060256300,10078901.0,39.0,369071,4060082300,4060135400,1,107,-,태위로360번길,0,0,0,50,0,0,0,0,912.9666942,20230519,1.404564144923077
10886023,20231106,125,4060256400,10078901.0,38.5,491945,4060134200,4060133600,1,107,-,위미중앙로,0,0,0,50,0,0,0,0,756.4340493,20230519,1.1788582586493506
657772,20231106,0,4060256500,10078901.0,39.0,396551,4060133600,4060134200,1,107,-,위미중앙로,0,0,0,50,0,0,0,0,776.4656624,20230519,1.1945625575384615
